明細コード,年月,検索カナ,品名,YJコード,一般名称カナ,一般名称,単位,棚番１,棚番２,理論在庫,単価,在庫金額,不動月数,在庫金額順位,発注点,調整数,自動発注対象外,発注点有効,後発,未処方日数,薬剤備考,薬価,薬価在庫金額,前月末理論在庫,入庫数,入庫金額,処方出庫数,処方出庫金額,処方外出庫数,処方外出庫金額,在庫月数
224946,202606,ｶﾙﾎﾞｼｽﾃｲﾝ,カルボシステイン錠２５０ｍｇ「サワイ」,2233002F1280,Ｌ－カルボシステインジョウ,Ｌ－カルボシステイン錠,錠,,,248,9.81,2433,1,456,200,0,0,1,0,23,"",10.8,2678,263,0,0,0,0,0,0,1.27
224948,202606,ｶﾙﾎﾞｼｽﾃｲﾝ,カルボシステイン錠５００ｍｇ「サワイ」,2233002F2103,Ｌ－カルボシステインジョウ,Ｌ－カルボシステイン錠,錠,,,970,9.81,9516,,118,1000,0,0,1,0,1,"",10.8,10476,822,1000,9810,834,8182,0,0,0.46
224956,202606,ｱﾝﾌﾞﾛｷｿｰﾙｴ,アンブロキソール塩酸塩錠１５ｍｇ「日新」,2239001F1742,アンブロキソールエンサンエンジョウ,アンブロキソール塩酸塩錠,錠,,,565,5.43,3068,1,394,500,0,0,1,1,15,"",6.1,3447,565,0,0,0,0,0,0,2.9
224960,202606,ﾃｵﾌｨﾘﾝ,テオフィリン徐放Ｕ錠４００ｍｇ「トーワ」,2251001G2080,テオフィリンジョホウジョウ,テオフィリン徐放錠,錠,,,33,4.6,152,8,1119,0,0,0,0,1,227,"",6.3,208,33,0,0,0,0,0,0,0
225014,202606,ｳﾙｿﾃﾞｵｷｼｺｰ,ウルソデオキシコール酸錠１００ｍｇ「サワイ」,2362001F2211,ウルソデオキシコールサンジョウ,ウルソデオキシコール酸錠,錠,,,795,9.81,7799,,158,700,0,0,1,1,3,"",10.8,8586,715,1100,10791,1020,10006,0,0,0.5
225041,202606,ﾘｰﾊﾞｸﾄ,リーバクト配合経口ゼリー　２０ｇ,3253003Q1029,イソロイシン・ロイシン・バリンゼリー,イソロイシン・ロイシン・バリンゼリー,個,,,126,146.33,18438,3,52,90,0,0,1,0,92,"",146.6,18472,126,0,0,0,0,0,0,0
225042,202606,ｶﾙﾊﾞｿﾞｸﾛﾑｽ,カルバゾクロムスルホン酸Ｎａ錠３０ｍｇ「ＹＤ」,3321002F2412,カルバゾクロムスルホンサンナトリウムスイワブツジョウ,カルバゾクロムスルホン酸ナトリウム水和物錠,錠,,,43,5.2,224,,1107,0,0,0,0,1,13,"",6.3,271,85,0,0,42,218,0,0,1.02
225050,202606,ｼﾛｽﾀｿﾞｰﾙｵｰ,シロスタゾールＯＤ錠５０ｍｇ「サワイ」,3399002F3039,シロスタゾールコウクウナイホウカイジョウ,シロスタゾール口腔内崩壊錠,錠,,,62,7.8,484,4,1022,60,0,0,1,1,118,"",10.8,670,62,0,0,0,0,0,0,0
225052,202606,ｼﾛｽﾀｿﾞｰﾙｵｰ,シロスタゾールＯＤ錠１００ｍｇ「サワイ」,3399002F4035,シロスタゾールコウクウナイホウカイジョウ,シロスタゾール口腔内崩壊錠,錠,,,306,9.16,2803,,421,200,0,0,1,1,3,"",11.3,3458,226,200,1832,120,1099,0,0,0.73
225064,202606,ｱﾛﾌﾟﾘﾉｰﾙ,アロプリノール錠１００ｍｇ「サワイ」,3943001F1586,アロプリノールジョウ,アロプリノール錠,錠,,,340,9,3060,,396,350,0,0,1,1,2,"",10.8,3672,400,700,6300,560,5040,0,0,0.26
225077,202606,ｸﾞﾘｸﾗｼﾞﾄﾞ,グリクラジド錠２０ｍｇ「サワイ」,3961007F2090,グリクラジドジョウ,グリクラジド錠,錠,,,11,5.3,58,8,1141,20,0,0,1,1,249,"",6.3,69,11,0,0,0,0,0,0,0
225093,202606,ﾅﾃｸﾞﾘﾆﾄﾞ,ナテグリニド錠３０ｍｇ「日医工」,3969006F1062,ナテグリニドジョウ,ナテグリニド錠,錠,,,226,9.6,2170,1,504,150,0,0,1,0,17,"",10.8,2441,226,0,0,0,0,0,0,1.88
225102,202606,ｱﾚﾝﾄﾞﾛﾝｻﾝ,アレンドロン酸錠３５ｍｇ「サワイ」,3999018F2141,アレンドロンサンナトリウムスイワブツジョウ,アレンドロン酸ナトリウム水和物錠,錠,,,37,68.4,2531,,442,25,0,0,1,1,8,"",87.4,3234,29,20,1368,12,821,0,0,0.74
225140,202606,ｴﾋﾟﾅｽﾁﾝｴﾝｻ,エピナスチン塩酸塩錠２０ｍｇ「サワイ」,4490014F2285,エピナスチンエンサンエンジョウ,エピナスチン塩酸塩錠,錠,,,110,12.82,1410,,694,60,0,0,1,1,2,"",15.9,1749,140,0,0,30,385,0,0,0.92
225148,202606,ﾌｪｷｿﾌｪﾅｼﾞﾝ,フェキソフェナジン塩酸塩錠６０ｍｇ「ＳＡＮＩＫ」,4490023F1091,フェキソフェナジンエンサンエンジョウ,フェキソフェナジン塩酸塩錠,錠,,,244,25.34,6183,,209,300,0,0,1,0,1,"",28.5,6954,398,300,7602,454,11504,0,0,0.3
225168,202606,ﾌｪｷｿﾌｪﾅｼﾞﾝ,フェキソフェナジン塩酸塩錠３０ｍｇ「ＳＡＮＩＫ」,4490023F2098,フェキソフェナジンエンサンエンジョウ,フェキソフェナジン塩酸塩錠,錠,,,132,20.25,2673,1,432,60,0,0,1,0,31,"",22.5,2970,132,0,0,0,0,0,0,13.2
225264,202606,ｲﾙﾄﾗ,イルトラ配合錠ＬＤ,2149119F1024,イルベサルタン・トリクロルメチアジドハイゴウザイジョウ,イルベサルタン・トリクロルメチアジド配合剤錠,錠,,,100,23.29,2329,1,471,50,0,0,1,0,34,"",32.2,3220,100,0,0,0,0,0,0,0
